metabolites,possible_transformation,transformation_diff_abs,delta_mz,method_1,mz_1,rt_1,method_2,mz_2,rt_2
LIPID_3873-----LIPID_4588,Hydroxylation,1.46195599697e-05,15.9949,LIPID,766.6549,14.93,LIPID,750.66,16.41
C38:2_PC-----LIPID_3610,Hydroxylation,1.46195599697e-05,15.9949,LIPID,814.6305,14.75,LIPID,798.6356,14.43
LIPID_3879-----LIPID_4706,Formylation,1.46195599697e-05,27.9949,LIPID,792.6703,14.95,LIPID,764.6754,16.65
LIPID_3857-----LIPID_4837,Hydroxylation,1.46195599697e-05,15.9949,LIPID,829.6789,14.85,LIPID,813.684,16.92
LIPID_4497-----LIPID_5838,Hydroxylation,1.46195599697e-05,15.9949,LIPID,867.7037,16.23,LIPID,851.7088,20.52
LIPID_2877-----LIPID_1190,Formylation,1.46195599697e-05,27.9949,LIPID,848.5361,13.06,LIPID,820.5412,7.82
LIPID_4556-----C48:2_TAG,Hydroxylation,1.46195599697e-05,15.9949,LIPID,841.6869,16.37,LIPID,825.692,17.62
LIPID_5065-----LIPID_4921,Hydroxylation,1.46195599697e-05,15.9949,LIPID,881.6802,17.53,LIPID,865.6853,17.11
LIPID_4539-----LIPID_3307,Hydroxylation,1.46195599697e-05,15.9949,LIPID,888.5689,16.32,LIPID,872.574,13.86
LIPID_3203-----LIPID_3307,Formylation,1.46195599697e-05,27.9949,LIPID,900.5689,13.67,LIPID,872.574,13.86
LIPID_3560-----LIPID_3730,Hydroxylation,1.46195599697e-05,15.9949,LIPID,998.6027,14.35,LIPID,982.6078,14.63
LIPID_2722-----LIPID_2922,Formylation,1.46195599697e-05,27.9949,LIPID,990.5357,12.75,LIPID,962.5408,13.14
LIPID_3469-----LIPID_3630,Formylation,1.46195599697e-05,27.9949,LIPID,984.5881,14.15,LIPID,956.5932,14.5
LIPID_3424-----LIPID_3606,Formylation,1.46195599697e-05,27.9949,LIPID,973.0893,14.08,LIPID,945.0944,14.41
LIPID_327-----LIPID_564,Hydroxylation,1.46195600266e-05,15.9949,LIPID,483.257,6.52,LIPID,467.2621,6.77
