transformation,closest_reaction,delta_mz_observed,delta_mz_error,metabolite_from,mz_from,rt_from,metabolite_to,mz_to,rt_to,method
C18-neg_QI554--->C18-neg_QI1215,[M+K]+,38.9144,0.048758100090928735,C18-neg_QI554,132.0288,1,C18-neg_QI1215,170.9432,1.43,C18-neg
C18-neg_QI554--->C18-neg_QI1214,[M+K]+,38.9144,0.048758100090928735,C18-neg_QI554,132.0288,1,C18-neg_QI1214,170.9432,1.51,C18-neg
C18-neg_QI328--->C18-neg_QI768,[M+CH4CN]+,42.02189999999999,0.01192555381093996,C18-neg_QI328,103.0386,1,C18-neg_QI768,145.0605,1,C18-neg
C18-neg_QI768--->C18-neg_QI757,[M-H]-,-1.016300000000001,0.009023547679070987,C18-neg_QI768,145.0605,1,C18-neg_QI757,144.0442,1.01,C18-neg
C18-neg_QI768--->C18-neg_QI1312,[M+Cl]-,34.9991,0.029698740090928766,C18-neg_QI768,145.0605,1,C18-neg_QI1312,180.0596,1.01,C18-neg
C18-neg_QI768--->C18-neg_QI1157,[M+Na]+,22.968400000000003,0.02082070099092803,C18-neg_QI768,145.0605,1,C18-neg_QI1157,168.0289,1.03,C18-neg
C18-neg_QI768--->C18-neg_QI2424,[M+CF3COO]-,112.94670000000002,0.038887479029057204,C18-neg_QI768,145.0605,1,C18-neg_QI2424,258.0072,1.03,C18-neg
C18-neg_QI768--->C18-neg_QI1092,[M+NH4]+,17.978200000000015,0.05562555381091627,C18-neg_QI768,145.0605,1,C18-neg_QI1092,163.0387,1.1,C18-neg
C18-neg_QI516--->C18-neg_QI768,[M+NH4]+,18.021799999999985,0.012025553810946832,C18-neg_QI516,127.0387,1.21,C18-neg_QI768,145.0605,1,C18-neg
C18-neg_QI768--->C18-neg_QI1389,[M+CH4CN]+,41.952799999999996,0.08102555381093168,C18-neg_QI768,145.0605,1,C18-neg_QI1389,187.0133,1.22,C18-neg
C18-neg_QI768--->C18-neg_QI751,[M-H]-,-1.0164000000000044,0.009123547679074306,C18-neg_QI768,145.0605,1,C18-neg_QI751,144.0441,1.25,C18-neg
C18-neg_QI768--->C18-neg_QI1394,[M+CH4CN]+,42.036,0.0021744461890733646,C18-neg_QI768,145.0605,1,C18-neg_QI1394,187.0965,1.25,C18-neg
C18-neg_QI517--->C18-neg_QI768,[M+NH4]+,18.021799999999985,0.012025553810946832,C18-neg_QI517,127.0387,1.28,C18-neg_QI768,145.0605,1,C18-neg
C18-neg_QI768--->C18-neg_QI1388,[M+CH4CN]+,41.95270000000002,0.08112555381090658,C18-neg_QI768,145.0605,1,C18-neg_QI1388,187.0132,1.32,C18-neg
C18-neg_QI518--->C18-neg_QI768,[M+NH4]+,18.010599999999997,0.02322555381093494,C18-neg_QI518,127.0499,1.37,C18-neg_QI768,145.0605,1,C18-neg
C18-neg_QI243--->C18-neg_QI768,[M+CH4CN]+,42.105299999999986,0.07147444618905752,C18-neg_QI243,102.9552,1.42,C18-neg_QI768,145.0605,1,C18-neg
C18-neg_QI768--->C18-neg_QI747,[M-H]-,-1.0164000000000044,0.009123547679074306,C18-neg_QI768,145.0605,1,C18-neg_QI747,144.0441,1.44,C18-neg
C18-neg_QI768--->C18-neg_QI755,[M-H]-,-1.016300000000001,0.009023547679070987,C18-neg_QI768,145.0605,1,C18-neg_QI755,144.0442,1.53,C18-neg
C18-neg_QI768--->C18-neg_QI1302,[M+Cl]-,34.87480000000002,0.094601259909048,C18-neg_QI768,145.0605,1,C18-neg_QI1302,179.9353,1.54,C18-neg
C18-neg_QI160--->C18-neg_QI770,[M+CH3COO]-,58.942999999999984,0.0708529157190867,C18-neg_QI160,88.0387,1.03,C18-neg_QI770,146.9817,1,C18-neg
C18-neg_QI770--->C18-neg_QI1339,[M+Cl]-,35.00890000000001,0.03949874009094145,C18-neg_QI770,146.9817,1,C18-neg_QI1339,181.9906,1.06,C18-neg
C18-neg_QI770--->C18-neg_QI1095,[M+NH4]+,18.036400000000015,0.0025744461890830905,C18-neg_QI770,146.9817,1,C18-neg_QI1095,165.0181,1.24,C18-neg
C18-neg_QI770--->C18-neg_QI1401,[M+CH4CN]+,42.003600000000006,0.03022555381092218,C18-neg_QI770,146.9817,1,C18-neg_QI1401,188.9853,1.27,C18-neg
C18-neg_QI770--->C18-neg_QI1400,[M+CH4CN]+,42.0035,0.0303255538109255,C18-neg_QI770,146.9817,1,C18-neg_QI1400,188.9852,1.44,C18-neg
C18-neg_QI964--->C18-neg_QI1260,[M+NH4]+,18.010700000000014,0.02312555381091741,C18-neg_QI964,157.0605,1,C18-neg_QI1260,175.0712,1,C18-neg
C18-neg_QI964--->C18-neg_QI1312,[M+Na]+,22.9991,0.009879299009067921,C18-neg_QI964,157.0605,1,C18-neg_QI1312,180.0596,1.01,C18-neg
C18-neg_QI964--->C18-neg_QI973,M+1,1.0033999999999992,4.516219999928239e-05,C18-neg_QI964,157.0605,1,C18-neg_QI973,158.0639,1.03,C18-neg
C18-neg_QI964--->C18-neg_QI1477,[M+HCOO]-,44.971900000000005,0.02630285125906795,C18-neg_QI964,157.0605,1,C18-neg_QI1477,202.0324,1.07,C18-neg
C18-neg_QI964--->C18-neg_QI1259,[M+NH4]+,17.95270000000002,0.08112555381091013,C18-neg_QI964,157.0605,1,C18-neg_QI1259,175.0132,1.08,C18-neg
C18-neg_QI964--->C18-neg_QI971,M+1,0.9534000000000162,0.049954837799983665,C18-neg_QI964,157.0605,1,C18-neg_QI971,158.0139,1.12,C18-neg
C18-neg_QI359--->C18-neg_QI964,[M+CH4CN]+,42.07599999999999,0.04217444618906541,C18-neg_QI359,114.9845,1.16,C18-neg_QI964,157.0605,1,C18-neg
C18-neg_QI964--->C18-neg_QI1258,[M+NH4]+,17.952600000000018,0.08122555381091345,C18-neg_QI964,157.0605,1,C18-neg_QI1258,175.0131,1.21,C18-neg
C18-neg_QI362--->C18-neg_QI964,[M+CH4CN]+,42.02189999999999,0.01192555381093996,C18-neg_QI362,115.0386,1.22,C18-neg_QI964,157.0605,1,C18-neg
C18-neg_QI964--->C18-neg_QI2543,[M+CF3COO]-,112.90019999999998,0.08538747902909449,C18-neg_QI964,157.0605,1,C18-neg_QI2543,269.9607,1.45,C18-neg
C18-neg_QI570--->C18-neg_QI964,[M+Na]+,23.000699999999995,0.011479299009064192,C18-neg_QI570,134.0598,1.48,C18-neg_QI964,157.0605,1,C18-neg
C18-neg_QI964--->C18-neg_QI1470,[M+CH4CN]+,41.99710000000002,0.03672555381091058,C18-neg_QI964,157.0605,1,C18-neg_QI1470,199.0576,1.52,C18-neg
C18-neg_QI1094--->C18-neg_QI2583,[M+CF3COO]-,112.971,0.014587479029074757,C18-neg_QI1094,164.0704,1,C18-neg_QI2583,277.0414,1,C18-neg
C18-neg_QI1094--->C18-neg_QI1645,[M+HCOO]-,44.996700000000004,0.0015028512590689047,C18-neg_QI1094,164.0704,1,C18-neg_QI1645,209.0671,1.02,C18-neg
C18-neg_QI677--->C18-neg_QI1094,[M+Na]+,23.004800000000017,0.015579299009086611,C18-neg_QI677,141.0656,1.03,C18-neg_QI1094,164.0704,1,C18-neg
C18-neg_QI1094--->C18-neg_QI1640,[M+HCOO]-,44.9829,0.01530285125907227,C18-neg_QI1094,164.0704,1,C18-neg_QI1640,209.0533,1.04,C18-neg
C18-neg_QI504--->C18-neg_QI1094,[M+K]+,39.04740000000001,0.08424189990908104,C18-neg_QI504,125.023,1.05,C18-neg_QI1094,164.0704,1,C18-neg
C18-neg_QI1094--->C18-neg_QI1557,[M+K]+,38.995900000000006,0.03274189990907672,C18-neg_QI1094,164.0704,1,C18-neg_QI1557,203.0663,1.05,C18-neg
C18-neg_QI1094--->C18-neg_QI1641,[M+HCOO]-,44.983000000000004,0.01520285125906895,C18-neg_QI1094,164.0704,1,C18-neg_QI1641,209.0534,1.07,C18-neg
C18-neg_QI1094--->C18-neg_QI1644,[M+HCOO]-,44.98319999999998,0.015002851259090733,C18-neg_QI1094,164.0704,1,C18-neg_QI1644,209.0536,1.09,C18-neg
C18-neg_QI1094--->C18-neg_QI1092,[M-H]-,-1.0317000000000007,0.024423547679070623,C18-neg_QI1094,164.0704,1,C18-neg_QI1092,163.0387,1.1,C18-neg
C18-neg_QI1094--->C18-neg_QI1643,[M+HCOO]-,44.98310000000001,0.01510285125906563,C18-neg_QI1094,164.0704,1,C18-neg_QI1643,209.0535,1.14,C18-neg
C18-neg_QI676--->C18-neg_QI1094,[M+Na]+,23.004800000000017,0.015579299009086611,C18-neg_QI676,141.0656,1.2,C18-neg_QI1094,164.0704,1,C18-neg
C18-neg_QI1094--->C18-neg_QI1389,[M+Na]+,22.94289999999998,0.046320700990950314,C18-neg_QI1094,164.0704,1,C18-neg_QI1389,187.0133,1.22,C18-neg
C18-neg_QI1094--->C18-neg_QI1095,M+1,0.9476999999999975,0.055654837800002355,C18-neg_QI1094,164.0704,1,C18-neg_QI1095,165.0181,1.24,C18-neg
C18-neg_QI1094--->C18-neg_QI1394,[M+Na]+,23.026099999999985,0.03687929900905473,C18-neg_QI1094,164.0704,1,C18-neg_QI1394,187.0965,1.25,C18-neg
C18-neg_QI675--->C18-neg_QI1094,[M+Na]+,23.00490000000002,0.01567929900908993,C18-neg_QI675,141.0655,1.27,C18-neg_QI1094,164.0704,1,C18-neg
C18-neg_QI526--->C18-neg_QI1094,[M+Cl]-,35.016099999999994,0.04669874009092467,C18-neg_QI526,129.0543,1.32,C18-neg_QI1094,164.0704,1,C18-neg
C18-neg_QI1094--->C18-neg_QI1388,[M+Na]+,22.942800000000005,0.04642070099092521,C18-neg_QI1094,164.0704,1,C18-neg_QI1388,187.0132,1.32,C18-neg
C18-neg_QI1094--->C18-neg_QI1642,[M+HCOO]-,44.98310000000001,0.01510285125906563,C18-neg_QI1094,164.0704,1,C18-neg_QI1642,209.0535,1.33,C18-neg
C18-neg_QI1094--->C18-neg_QI1552,[M+K]+,38.9306,0.032558100090930964,C18-neg_QI1094,164.0704,1,C18-neg_QI1552,203.001,1.37,C18-neg
C18-neg_QI1094--->C18-neg_QI1470,[M+Cl]-,34.9872,0.01779874009093163,C18-neg_QI1094,164.0704,1,C18-neg_QI1470,199.0576,1.52,C18-neg
C18-neg_QI554--->C18-neg_QI1219,[M+K]+,39.04730000000001,0.08414189990907772,C18-neg_QI554,132.0288,1,C18-neg_QI1219,171.0761,1,C18-neg
C18-neg_QI1219--->C18-neg_QI2665,[M+CF3COO]-,112.918,0.06758747902907203,C18-neg_QI1219,171.0761,1,C18-neg_QI2665,283.9941,1.01,C18-neg
C18-neg_QI1219--->C18-neg_QI1414,[M+Na]+,22.968700000000013,0.020520700990918073,C18-neg_QI1219,171.0761,1,C18-neg_QI1414,194.0448,1.07,C18-neg
C18-neg_QI1219--->C18-neg_QI1662,[M+CH4CN]+,41.9511,0.08272555381093127,C18-neg_QI1219,171.0761,1,C18-neg_QI1662,213.0272,1.19,C18-neg
C18-neg_QI526--->C18-neg_QI1219,[M+CH4CN]+,42.021799999999985,0.012025553810943279,C18-neg_QI526,129.0543,1.32,C18-neg_QI1219,171.0761,1,C18-neg
C18-neg_QI555--->C18-neg_QI1219,[M+K]+,39.032099999999986,0.0689418999090563,C18-neg_QI555,132.044,1.46,C18-neg_QI1219,171.0761,1,C18-neg
C18-neg_QI1219--->C18-neg_QI1245,M+1,0.9301000000000101,0.07325483779998976,C18-neg_QI1219,171.0761,1,C18-neg_QI1245,172.0062,1.52,C18-neg
C18-neg_QI539--->C18-neg_QI1260,[M+HCOO]-,45.02160000000001,0.02339714874093346,C18-neg_QI539,130.0496,1,C18-neg_QI1260,175.0712,1,C18-neg
C18-neg_QI545--->C18-neg_QI1260,[M+HCOO]-,44.98519999999999,0.013002851259081183,C18-neg_QI545,130.086,1,C18-neg_QI1260,175.0712,1,C18-neg
C18-neg_QI964--->C18-neg_QI1260,[M+NH4]+,18.010700000000014,0.02312555381091741,C18-neg_QI964,157.0605,1,C18-neg_QI1260,175.0712,1,C18-neg
C18-neg_QI1260--->C18-neg_QI1703,[M+CH4CN]+,41.95779999999999,0.07602555381093623,C18-neg_QI1260,175.0712,1,C18-neg_QI1703,217.029,1,C18-neg
C18-neg_QI1260--->C18-neg_QI1255,[M-H]-,-1.0317000000000007,0.024423547679070623,C18-neg_QI1260,175.0712,1,C18-neg_QI1255,174.0395,1.01,C18-neg
C18-neg_QI411--->C18-neg_QI1260,[M+CH3COO]-,59.0373,0.023447084280931563,C18-neg_QI411,116.0339,1.04,C18-neg_QI1260,175.0712,1,C18-neg
C18-neg_QI1260--->C18-neg_QI1262,M+1,0.9662999999999897,0.037054837800010176,C18-neg_QI1260,175.0712,1,C18-neg_QI1262,176.0375,1.1,C18-neg
