transformation,closest_reaction,delta_mz_observed,delta_mz_error,metabolite_from,mz_from,rt_from,metabolite_to,mz_to,rt_to,method
HILIC-pos_QI785--->HILIC-pos_QI808,M+1,0.995199999999997,0.008154837800002923,HILIC-pos_QI785,125.06,1.02,HILIC-pos_QI808,126.0552,1.28,HILIC-pos
HILIC-pos_QI1353--->HILIC-pos_QI3604,[M+CF3COO]-,113.05090000000001,0.06531252097093443,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos
HILIC-pos_QI948--->HILIC-pos_QI1353,[M+NH4]+,18.01049999999998,0.02332555381095247,HILIC-pos_QI948,134.0602,1.04,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos
HILIC-pos_QI1353--->HILIC-pos_QI2657,[M+CH3COO]-,58.9332,0.08065291571907096,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos_QI2657,211.0039,1.06,HILIC-pos
HILIC-pos_QI540--->HILIC-pos_QI1353,[M+CH4CN]+,42.01019999999998,0.023625553810944666,HILIC-pos_QI540,110.0605,1.08,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos
HILIC-pos_QI538--->HILIC-pos_QI1353,[M+CH4CN]+,42.01019999999998,0.023625553810944666,HILIC-pos_QI538,110.0605,1.42,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos
HILIC-pos_QI2848--->HILIC-pos_QI3604,[M+CH4CN]+,42.046899999999994,0.013074446189065725,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos
HILIC-pos_QI540--->HILIC-pos_QI2848,[M+CF3COO]-,113.0142,0.028612520970924038,HILIC-pos_QI540,110.0605,1.08,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos
HILIC-pos_QI1624--->HILIC-pos_QI2848,[M+CH3COO]-,59.00400000000002,0.009852915719051225,HILIC-pos_QI1624,164.0707,1.08,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos
HILIC-pos_QI538--->HILIC-pos_QI2848,[M+CF3COO]-,113.0142,0.028612520970924038,HILIC-pos_QI538,110.0605,1.42,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos
HILIC-pos_QI2848--->HILIC-pos_QI2862,M+1,0.9136000000000024,0.08975483779999749,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos_QI2862,223.9883,1.43,HILIC-pos
HILIC-pos_QI3604--->HILIC-pos_QI3590,[M-H]-,-1.0679999999999836,0.060723547679053524,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos_QI3590,264.0536,1.02,HILIC-pos
HILIC-pos_QI1353--->HILIC-pos_QI3604,[M+CF3COO]-,113.05090000000001,0.06531252097093443,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos
HILIC-pos_QI2848--->HILIC-pos_QI3604,[M+CH4CN]+,42.046899999999994,0.013074446189065725,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos
HILIC-pos_QI3604--->HILIC-pos_QI3590,[M-H]-,-1.0679999999999836,0.060723547679053524,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos_QI3590,264.0536,1.02,HILIC-pos
HILIC-pos_QI3604--->HILIC-pos_QI4174,[M+CH4CN]+,42.046899999999994,0.013074446189065725,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos_QI4174,307.1685,1.02,HILIC-pos
HILIC-pos_QI2565--->HILIC-pos_QI3604,[M+CH3COO]-,59.073200000000014,0.05934708428094382,HILIC-pos_QI2565,206.0484,1.04,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos
HILIC-pos_QI3604--->HILIC-pos_QI4143,[M+K]+,39.01089999999999,0.04774189990906308,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos_QI4143,304.1325,1.06,HILIC-pos
HILIC-pos_QI3809--->HILIC-pos_QI4042,[M+NH4]+,17.97429999999997,0.059525553810960474,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos
HILIC-pos_QI3809--->HILIC-pos_QI3820,M+1,0.911200000000008,0.0921548377999919,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3472--->HILIC-pos_QI3809,[M+Na]+,23.07589999999999,0.08667929900905946,HILIC-pos_QI3472,256.0613,1.01,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos
HILIC-pos_QI1660--->HILIC-pos_QI3809,[M+CF3COO]-,113.05090000000001,0.06531252097093443,HILIC-pos_QI1660,166.0863,1.04,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos
HILIC-pos_QI3113--->HILIC-pos_QI3809,[M+HCOO]-,45.05770000000001,0.059497148740938144,HILIC-pos_QI3113,234.0795,1.04,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos
HILIC-pos_QI3809--->HILIC-pos_QI4300,[M+K]+,39.01099999999997,0.04784189990903798,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos_QI4300,318.1482,1.05,HILIC-pos
HILIC-pos_QI3604--->HILIC-pos_QI4174,[M+CH4CN]+,42.046899999999994,0.013074446189065725,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos_QI4174,307.1685,1.02,HILIC-pos
HILIC-pos_QI4487--->HILIC-pos_QI4949,[M+HCOO]-,44.91660000000002,0.08160285125905631,HILIC-pos_QI4487,335.1997,1.02,HILIC-pos_QI4949,380.1163,1.01,HILIC-pos
HILIC-pos_QI4001--->HILIC-pos_QI4487,[M+CH4CN]+,42.046899999999994,0.013074446189065725,HILIC-pos_QI4001,293.1528,1.03,HILIC-pos_QI4487,335.1997,1.02,HILIC-pos
HILIC-pos_QI4487--->HILIC-pos_QI4736,[M+Na]+,23.04109999999997,0.05187929900904109,HILIC-pos_QI4487,335.1997,1.02,HILIC-pos_QI4736,358.2408,1.4,HILIC-pos
HILIC-pos_QI5686--->HILIC-pos_QI5807,[M+Na]+,23.075800000000015,0.08657929900908456,HILIC-pos_QI5686,489.1338,0.99,HILIC-pos_QI5807,512.2096,1.02,HILIC-pos
HILIC-pos_QI478--->HILIC-pos_QI822,[M+Na]+,22.932000000000002,0.057220700990928464,HILIC-pos_QI478,104.1074,0.35,HILIC-pos_QI822,127.0394,1.03,HILIC-pos
HILIC-pos_QI822--->HILIC-pos_QI1660,[M+K]+,39.046899999999994,0.08374189990906444,HILIC-pos_QI822,127.0394,1.03,HILIC-pos_QI1660,166.0863,1.04,HILIC-pos
HILIC-pos_QI822--->HILIC-pos_QI3219,[M+CF3COO]-,113.01419999999999,0.028612520970909827,HILIC-pos_QI822,127.0394,1.03,HILIC-pos_QI3219,240.0536,1.2,HILIC-pos
HILIC-pos_QI808--->HILIC-pos_QI822,M+1,0.9842000000000013,0.019154837799998603,HILIC-pos_QI808,126.0552,1.28,HILIC-pos_QI822,127.0394,1.03,HILIC-pos
HILIC-pos_QI1008--->HILIC-pos_QI1963,[M+CH4CN]+,42.05799999999999,0.024174446189064724,HILIC-pos_QI1008,137.0599,1.03,HILIC-pos_QI1963,179.1179,1.06,HILIC-pos
HILIC-pos_QI1008--->HILIC-pos_QI1900,[M+K]+,38.94149999999999,0.021658100090938603,HILIC-pos_QI1008,137.0599,1.03,HILIC-pos_QI1900,176.0014,1.17,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2736,[M+HCOO]-,44.99260000000001,0.005602851259062902,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2736,216.0941,1.03,HILIC-pos
HILIC-pos_QI2736--->HILIC-pos_QI3113,[M+NH4]+,17.9854,0.04842555381093305,HILIC-pos_QI2736,216.0941,1.03,HILIC-pos_QI3113,234.0795,1.04,HILIC-pos
HILIC-pos_QI1784--->HILIC-pos_QI2736,[M+HCOO]-,45.04509999999999,0.04689714874091777,HILIC-pos_QI1784,171.049,1.33,HILIC-pos_QI2736,216.0941,1.03,HILIC-pos
HILIC-pos_QI1802--->HILIC-pos_QI2736,[M+HCOO]-,44.99260000000001,0.005602851259062902,HILIC-pos_QI1802,171.1015,1.39,HILIC-pos_QI2736,216.0941,1.03,HILIC-pos
HILIC-pos_QI4001--->HILIC-pos_QI4487,[M+CH4CN]+,42.046899999999994,0.013074446189065725,HILIC-pos_QI4001,293.1528,1.03,HILIC-pos_QI4487,335.1997,1.02,HILIC-pos
HILIC-pos_QI3113--->HILIC-pos_QI4001,[M+CH3COO]-,59.07330000000002,0.05944708428094714,HILIC-pos_QI3113,234.0795,1.04,HILIC-pos_QI4001,293.1528,1.03,HILIC-pos
HILIC-pos_QI3679--->HILIC-pos_QI4001,[M+Na]+,23.088700000000017,0.09947929900908647,HILIC-pos_QI3679,270.0641,1.25,HILIC-pos_QI4001,293.1528,1.03,HILIC-pos
HILIC-pos_QI4300--->HILIC-pos_QI4781,[M+HCOO]-,45.08290000000005,0.08469714874097889,HILIC-pos_QI4300,318.1482,1.05,HILIC-pos_QI4781,363.2311,1.03,HILIC-pos
HILIC-pos_QI4143--->HILIC-pos_QI4781,[M+CH3COO]-,59.09860000000003,0.08474708428096278,HILIC-pos_QI4143,304.1325,1.06,HILIC-pos_QI4781,363.2311,1.03,HILIC-pos
HILIC-pos_QI5729--->HILIC-pos_QI5973,[M+CH4CN]+,42.04669999999999,0.012874446189059086,HILIC-pos_QI5729,498.1939,1.03,HILIC-pos_QI5973,540.2406,1.01,HILIC-pos
