id	mass	RT	rep1	rep2	rep3	filteredIdentification
143	81.52047944358297	2174.4066569010415	2823070.25	947333.75	1351181.875	junk, 1.00000
144	411.2161566219538	861.197998046875	2819329.25		76611.0234375	
145	94.54585755928152	2055.903361002604	2801921.0	2548807.5	2084769.0	
146	94.54572611551521	2037.9966634114583	2801921.0	137103.78125	1373131.875	
147	94.0451292520588	2285.9599609375	2772919.75		1736839.375	
148	94.04512959060739	2259.93994140625	2766321.75		1764619.625	
149	101.11521017409075	821.4019978841146	2730186.0	2279350.25	1451428.375	12205548, 1,1,1-trideuteriobutane, M+ACN+H, [12C]5[13C]1[1H]14[14N]1, 1.00000
150	102.03383807231216	2002.0599772135417	4083115.25	2660614.5	2714680.5	junk, 0.99500; junk, 0.00500
151	148.0603420261833	1022.1533406575521	2605550.0	2714466.25	1075184.75	StdMix1_84, L-Glutamate, M+H, [12C]5[1H]10[14N]1[16O]4, 1.00000
152	122.54708903831457	2379.5250244140625	2701187.25		1615167.625	junk, 1.00000
153	102.0338081846673	2653.590087890625		2684768.75		junk, 1.00000
154	152.0705251363449	807.3460083007812	2167984.25	2672503.75	1135604.125	StdMix1_15, 2-Phenylglycine, M+H, [12C]8[1H]10[14N]1[16O]2, 1.00000
155	102.03383488919803	1754.6866455078125	2616369.0	1911964.125	1871750.5	junk, 0.90500; junk, 0.09500
156	102.03383383506544	1950.739990234375	3828090.0	2426175.5	2607221.25	junk, 0.91000; junk, 0.09000
157	110.01996371285387	3.0720300674438477		2551869.25		
158	94.0451282834861	2334.75	2529557.0		1499860.0	
159	255.11025688303005	332.4056701660156	2519743.5	1865922.5	1877884.375	StdMix1_5, Melatonin, M+Na, [12C]13[1H]16[14N]2[16O]2[23Na]1, 1.00000
160	400.1291075481872	444.2046610514323	2514913.75	7737.0517578125	938190.25	5123, 2-amino-3-(2,4-dioxopyrimidin-1-yl)propanoic acid, 2M+H, [12C]13[13C]1[1H]19[14N]6[16O]8, 1.00000
161	94.04512771170951	2346.169921875	2511041.5		1451468.5	
162	167.01274729724528	2387.106689453125	2428821.75	1271644.125	1531259.125	
163	125.98614883814902	2119.1333821614585	2418055.5	661700.875	1369487.625	
164	146.16503598565976	2717.4034016927085	101506.703125	2414427.0	46631.984375	StdMix1_1, Spermidine, M+H, [12C]7[1H]20[14N]3, 1.00000
165	347.09488842620704	537.6723225911459	2408816.5	1074163.625	1203556.75	junk, 0.91000; 236770, 2-(4-chlorophenyl)phenanthro[9,10-d][1,3]oxazole, M+NH4, [12C]21[1H]16[14N]2[16O]1[35Cl]1, 0.06500; junk, 0.02500
166	167.01274844366617	2271.72998046875	4115649.5	1948858.625	2398124.0	
167	120.0654695820275	1047.4066975911458	2396573.5	2281021.5	1057129.125	StdMix1_28, L-Threonine, M+H, [12C]4[1H]10[14N]1[16O]3, 1.00000
168	102.03383377800974	1707.3699951171875	2393903.75	1728130.625	1709453.625	junk, 1.00000
169	134.0447065527111	1052.9533284505208	2389094.0	1551115.75	578180.5	StdMix1_29, L-Aspartate, M+H, [12C]4[1H]8[14N]1[16O]4, 1.00000
170	117.13856557131187	2009.9266764322917	2069333.5	2365934.0	601287.375	
171	102.53534261708263	2111.919921875	2357521.0	2206424.5	1744861.125	10678569, 2-deuterio-6-(trifluoromethyl)phenol, M+ACN+2H, [12C]9[1H]10[19F]3[14N]1[16O]1, 1.00000
172	199.16918940548376	309.8456726074219	2351447.25	846234.3125	2092120.625	
173	122.5470894461586	2402.5849609375	2332927.25		1504861.125	junk, 1.00000
174	167.0127510935322	2398.8799641927085	2299935.0	1286708.25	1267902.75	
175	94.04513065136037	2374.5999755859375	2298417.25		1409559.25	
176	127.05017211084517	999.4446614583334	154029.140625	3113991.75	2282167.0	StdMix1_2, Imidazole-4-acetate, M+H, [12C]5[1H]7[14N]2[16O]2, 1.00000
177	176.10289099153977	1144.9166666666667	1272969.875	2279630.25	534724.375	StdMix1_35, L-Citrulline, M+H, [12C]6[1H]14[14N]3[16O]3, 0.99500; 4626, 2-(4-hydroxy-2-oxopyrrolidin-1-yl)acetamide, M+NH4, [12C]6[1H]14[14N]3[16O]3, 0.00500
178	81.52051217884565	2207.659912109375	2257936.25			junk, 0.81000; junk, 0.19000
179	113.03447841851998	539.5819905598959	2251999.5	419302.09375	872633.6875	
180	90.97662138934055	1259.7266845703125	2209010.75	1588376.625	1233365.0	
181	233.12838131467024	421.61766560872394	112587.75	2203690.25	40442.36328125	junk, 0.99500; StdMix1_5, Melatonin, M+H, [12C]13[1H]17[14N]2[16O]2, 0.00500
182	252.09001726156384	798.9329833984375	2192980.5		535295.0	junk, 0.87000; junk, 0.13000
183	147.07632912073657	1088.25	2133008.25	2150257.5	798540.6875	StdMix1_34, L-Serine, M+ACN+H, [12C]5[1H]11[14N]2[16O]3, 0.54500; StdMix1_30, L-Glutamine, M+H, [12C]5[1H]11[14N]2[16O]3, 0.45500
184	94.0451428683287	2404.409912109375	2136056.5			
185	106.04984178762793	1120.2133382161458	2135425.5	1673272.375	774764.875	StdMix1_58, Pyruvate, M+NH4, [12C]3[1H]8[14N]1[16O]3, 0.45000; StdMix1_34, L-Serine, M+H, [12C]3[1H]8[14N]1[16O]3, 0.29000; junk, 0.26000
186	111.11675546631153	310.3836669921875	2125253.0	534560.9375	1672079.875	
187	81.52048032571908	2221.6600748697915	2118502.75	679547.3125	932115.1875	junk, 1.00000
188	220.11786405832126	847.7140096028646	2091705.25	4250.7177734375	755699.25	junk, 0.94000; junk, 0.06000
189	233.12831039623865	397.72100830078125		2089005.125		StdMix1_5, Melatonin, M+H, [12C]13[1H]17[14N]2[16O]2, 1.00000
190	324.1289266695726	758.8639933268229	2072223.125	637086.4375	838471.375	80042, N,N-dimethyl-2-phenothiazin-10-ylethanamine;hydrochloride, M+NH4, [12C]16[1H]23[14N]3[35Cl]1[32S]1, 1.00000
191	125.98614796136694	2137.949951171875	2065008.0	518098.625	1144894.125	
192	114.55831476507275	2054.9966634114585	1486980.625	2051492.375	1185061.25	junk, 1.00000
193	133.06069553661067	1116.03662109375	2002618.875	1898695.75	653624.25	StdMix1_32, L-Asparagine, M+H, [12C]4[1H]9[14N]2[16O]3, 1.00000
194	94.04513293996581	2411.6600341796875	1993597.25		1225726.75	
195	94.04513309534639	2419.550048828125	1993597.25		1199158.625	
196	95.04371488618712	2057.5267333984375	1974835.5	1807495.625	1427096.625	junk, 1.00000
197	95.04370617172988	2055.493367513021	1974835.5	1807495.625	1404847.5	junk, 1.00000
198	129.1273230863679	312.41400146484375	1972270.125	671568.375	1803606.75	
199	263.073659952952	781.6739908854166	1286224.75	1963800.875	1279915.0	StdMix1_86, D-Erythrose, 2M+Na, [12C]8[1H]16[16O]8[23Na]1, 1.00000
200	81.52050889968146	2228.530029296875	1945034.375			junk, 0.53500; junk, 0.46500
201	122.54709769411946	2431.074951171875	1941265.125		1360528.375	junk, 1.00000
202	167.01275173448246	2434.683349609375	1931296.875	1023368.5	1081536.625	
203	81.52048207555019	2254.2432454427085	1858008.5	635483.8125	792120.625	junk, 1.00000
204	90.05495181960039	1118.3000081380208	1536830.5	1818889.375	823091.9375	StdMix1_92, methylglyoxal, M+NH4, [12C]3[1H]8[14N]1[16O]2, 0.94000; junk, 0.06000
205	89.50675314942139	2035.1400146484375	1809495.75	294860.5	160691.515625	
206	122.54705448411524	2015.8566487630208	1805086.875	1466638.875	1048079.5625	junk, 1.00000
207	198.00269382748783	815.1800130208334	1179701.375	1780296.25	865966.5	StdMix1_16, Selenomethionine, M+H, [12C]5[1H]12[14N]1[16O]2[80Se]1, 0.75000; junk, 0.25000
208	167.01273251139074	2017.8899739583333	1769641.5	913058.0625	688819.875	
209	299.09985805775233	589.3689982096354	1766611.25	550557.0	614533.9375	149, 2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol, M+H, [12C]10[13C]1[1H]16[14N]5[16O]3[32S]1, 1.00000
210	112.05046312320337	1173.356689453125	1737246.125	518163.375	524487.0	junk, 0.53500; junk, 0.46500
211	168.98955171143254	869.3659871419271	1715431.0	54157.51953125	77203.78125	StdMix1_81, Phosphoenolpyruvate, M+H, [12C]3[1H]6[16O]6[31P]1, 1.00000
212	365.10560188107445	737.8680114746094	1713331.375		1047930.125	StdMix1_87, Maltose, M+Na, [12C]12[1H]22[16O]11[23Na]1, 1.00000
213	94.04514729277747	2468.31005859375	1703131.875			
214	81.52048859707646	2280.449951171875	1701375.625	462609.125	755642.1875	junk, 1.00000
215	167.01274939955874	2462.7267252604165	1685452.0	875431.4375	949804.25	
216	347.0949198684164	477.82300821940106	1683416.75	461243.125	693509.5	junk, 0.84500; 236770, 2-(4-chlorophenyl)phenanthro[9,10-d][1,3]oxazole, M+NH4, [12C]21[1H]16[14N]2[16O]1[35Cl]1, 0.09500; junk, 0.03500; junk, 0.02500
217	156.07672236156483	1539.8766682942708	1161887.75	1683174.625	314252.4375	StdMix1_43, L-Histidine, M+H, [12C]6[1H]10[14N]3[16O]2, 1.00000
218	324.05917331457573	1180.5799560546875	1681612.25	942595.0	314525.21875	StdMix1_79, CMP, M+H, [12C]9[1H]15[14N]3[16O]8[31P]1, 1.00000
219	226.95140552990037	1260.1566569010417	1676240.125	1494575.875	927115.5	
220	226.9514527381487	1258.7799682617188	1676240.125		927115.5	
221	245.0635703117342	538.816650390625	2879366.5	1665581.625	1011845.125	junk, 1.00000
222	122.54706653381379	1972.7833251953125	1660586.5	1189175.0	1021387.875	junk, 0.81000; junk, 0.19000
223	122.54710829832955	2463.7099609375	1655745.25			junk, 1.00000
224	122.54706075121278	1991.2666829427083	1653835.25	1119220.25	1052320.0	junk, 1.00000
225	182.98511551555384	19.511677106221516	1148634.5	1622688.25	1201457.0	11141798, 1-hydroxypentylidenemolybdenum, M+H, [12C]5[1H]11[16O]1[96Mo]1, 1.00000
