compoundId	compoundName	p.1	p.2	p.3	p.4	p.5	p.combined
10801490	methoxy-oxido-phenoxy-sulfanylidene-$l^{5}-phosphane;trimethylazanium	0.0	0.0	0.0	0.0	0.0	0.0
1261253	6-methyl-N-[4-(3-nitrophenyl)-1,3-thiazol-2-yl]-2-pyridin-3-ylquinoline-4-carboxamide	0.0	0.0	0.0	0.0	0.0	0.0
25144474	1-(1,1,1,2,3,3,3-heptadeuteriopropan-2-ylamino)-3-[4-(1,1,2,2-tetradeuterio-2-methoxyethyl)phenoxy]propan-2-ol	0.0	0.0	0.0	0.0	0.0	0.0
2742797	4-butyl-N-[[5-(4-chlorophenyl)-2-(4-iodophenyl)pyrazol-3-yl]carbamothioyl]benzamide	0.0	0.0	0.0	0.0	0.0	0.0
11139035	2-[ditert-butyl-(fluoroamino)silyl]-2-methylpropane	0.0	0.0	0.0	0.0	0.0	0.0
345481	1-[5-[2-(3-acetyl-4-hydroxy-4-methyl-1-nitrocyclohexyl)ethyl]-2-hydroxy-2-methyl-5-nitrocyclohexyl]ethanone	0.0	0.0	0.0	0.0	0.0	0.0
394852	methyl 8-(chloromethyl)-4-nitro-6-(5,6,7-trimethoxy-1H-indole-2-carbonyl)-7,8-dihydro-3H-pyrrolo[3,2-e]indole-2-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0
217869	2-[(2-chloro-1,1-dioxo-1-benzothiophen-3-yl)-(2-hydroxyethyl)amino]ethanol	0.0	0.0	0.0	0.0	0.0	0.0
3701070	3-cyclohexyl-1-[(4-fluorophenyl)methyl]-1-[4-(9H-xanthen-9-yl)phenyl]urea	0.0	0.0	0.0	0.0	0.0	0.0
530244	(6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-yl) 2,2,2-trifluoroacetate	0.0	0.0	0.0	0.0	0.0	0.0
43638	(3-methylimidazol-3-ium-1-yl)methyl dodecanoate;chloride	0.0	0.0	0.0	0.0	0.0	0.0
345265	6-nitro-3-(2-oxopropyl)-1,3-benzoxazine-2,4-dione	0.0	0.0	0.0	0.0	0.0	0.0
23799	1-(1-benzothiophen-3-yl)-2-morpholin-4-ylethanone	0.0	0.0	0.0	0.0	0.0	0.0
3005346	N-[2-(azepane-1-carbothioylhydrazinylidene)ethylideneamino]azepane-1-carbothioamide	0.0	0.0	0.0	0.0	0.0	0.0
34576	(4-methoxyphenyl)-(4-nitrophenyl)diazene	0.0	0.0	0.0	0.0	0.0	0.0
383669	2-[1,1,1,3,3,3-hexafluoro-2-[[3,3,3-trifluoro-2-(trifluoromethyl)propanoyl]amino]propan-2-yl]sulfanylacetic acid	0.0	0.0	0.0	0.0	0.0	0.0
1333693	4-[(4-methoxyphenyl)sulfonylamino]-N-[3-(trifluoromethyl)phenyl]benzenesulfonamide	0.0	0.0	0.0	0.0	0.0	0.0
19876462	ethyl 2-[fluoro(dimethyl)silyl]prop-2-enoate	0.0	0.0	0.0	0.0	0.0	0.0
11026681	[(2S,3R)-11-(1,3-benzodioxol-5-yl)-2-hydroxyundec-4-yn-3-yl]oxy-ditert-butylsilicon	0.0	0.0	0.0	0.0	0.0	0.0
52383	2-(2-cyclohexylethynyl)propanedinitrile	0.0	0.0	0.0	0.0	0.0	0.0
143467	[4-(nitrooxymethyl)-1,2,5-oxadiazol-3-yl]methyl nitrate	0.0	0.0	0.0	0.0	0.0	0.0
340812	2,6-ditert-butyl-4-phenyl-1H-1,4$l^{5}-azaphosphinine 4-oxide	0.0	0.0	0.0	0.0	0.0	0.0
78080	trimethyl trimethoxysilyl silicate	0.0	0.0	0.0	0.0	0.0	0.0
247536	[4,5-dihydroxy-6-(hydroxymethyl)-2-phenylmethoxyoxan-3-yl] methanesulfonate	0.0	0.0	0.0	0.0	0.0	0.0
